model_id,model_family,execution_surface,inference_location,rankable_on_comparative_cards,published_gate_cards_passed,comparative_cards_total,published_gate_ceiling,first_comparative_break,worker_wall_seconds_to_published_gate_ceiling,retry_passes,C10_observed,C10_ranking_status,comparison_note
qwen3.6:27b-mtp-q8_0,Qwen3.6,claude-ollama,local_Ollama,true,9,9,9,none,4439,1,"two 900s timeouts; best gate 3/7",excluded_benchmark_defect,"C9 passed 11/11 on an informed extended retry after a 900s 9/11 timeout; post-hoc probes found multi-letter failure, boolean acceptance, and large-integer division precision loss"
gemma4:31b-coding-mtp-bf16,Gemma_4,claude-ollama,local_Ollama,true,9,9,9,none,3076,0,"three 900s timeouts across principal and dedicated runs; best gate 5/7",excluded_benchmark_defect,"C9 passed 11/11 on the first attempt in 804s and passed the post-hoc multi-letter probe; post-hoc probes also found boolean acceptance and large-integer division precision loss"
qwen3.6:35b-a3b-mtp-q8_0,Qwen3.6,claude-ollama,local_Ollama,true,8,9,8,C9,929,0,skipped_after_valid_break,excluded_benchmark_defect,"C9 timed out twice with 4/11 tests passing"
opencode-go/glm-5.2,GLM,OpenCode_CLI,hosted,true,9,9,9,none,908,0,failed_twice,excluded_benchmark_defect,"Cleared C1-C9 without retry"
opencode-go/glm-5.1,GLM,OpenCode_CLI,hosted,true,0,9,0,C1,0,0,not_run,excluded_benchmark_defect,"C1 failed then timed out; second test gate was green but runner verdict was not accepted"
opencode-go/kimi-k2.6,Kimi,OpenCode_CLI,hosted,true,1,9,1,C2,27,0,not_run,excluded_benchmark_defect,"C2 tests were green but scope failed twice"
opencode-go/mimo-v2.5-pro,MiMo,OpenCode_CLI,hosted,true,9,9,9,none,841,1,failed_twice,excluded_benchmark_defect,"C2 passed on informed retry; then cleared through C9"
opencode-go/mimo-v2.5,MiMo,OpenCode_CLI,hosted,true,7,9,7,C8,230,0,not_run,excluded_benchmark_defect,"C8 failed twice"
opencode-go/qwen3.7-max,Qwen3.7,OpenCode_CLI,hosted,true,9,9,9,none,640,0,failed_twice,excluded_benchmark_defect,"Cleared C1-C9 without retry"
opencode-go/qwen3.7-plus,Qwen3.7,OpenCode_CLI,hosted,true,9,9,9,none,799,1,timed_out_twice,excluded_benchmark_defect,"C2 passed on informed retry; then cleared through C9"
opencode-go/qwen3.6-plus,Qwen3.6,OpenCode_CLI,hosted,true,9,9,9,none,963,2,failed_twice,excluded_benchmark_defect,"C7 and C9 passed on informed retries"
opencode-go/minimax-m3,MiniMax,OpenCode_CLI,hosted,true,9,9,9,none,332,0,failed_twice,excluded_benchmark_defect,"Cleared C1-C9 without retry"
opencode-go/minimax-m2.7,MiniMax,OpenCode_CLI,hosted,true,6,9,6,C7,552,0,not_run,excluded_benchmark_defect,"C7 failed twice"
opencode-go/deepseek-v4-flash,DeepSeek,OpenCode_CLI,hosted,true,9,9,9,none,640,0,failed_twice_contaminated,excluded_benchmark_defect,"Cleared C1-C9; C10 prompt/no-edit contamination prevents interpretation"
opencode-go/kimi-k2.7-code,Kimi,OpenCode_CLI,hosted,true,8,9,8,C9,464,0,not_run,excluded_benchmark_defect,"C9 tests were green but anti-stub failed twice"
opencode-go/deepseek-v4-pro,DeepSeek,OpenCode_CLI,hosted,true,9,9,9,none,607,0,"timeouts at 300s and 1880s",excluded_benchmark_defect,"Cleared C1-C9 without retry"
GPT-5.5_xhigh,GPT,Codex,hosted,false,,,not_run,not_run,,0,"published gate PASS 7/7 in 167.625s agent wall; test runtime 0.33s",excluded_benchmark_defect,"Isolated C10 reference only; implementation hardcoded the slash contradiction and broadened escaped-backslash behavior"
