model_id,execution_surface,inference_location,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10_observed,published_gate_ceiling,worker_wall_seconds_to_published_gate_ceiling,comparative_break_class,notes
opencode-go/glm-5.2,OpenCode_CLI,hosted,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_X2,9,908,none,"Card 10 attempts lasted 3s and 7s; excluded from ranking"
opencode-go/glm-5.1,OpenCode_CLI,hosted,FAIL_THEN_TIMEOUT,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,0,0,timeout_and_runner_terminal_state,"Attempt 2 timed out after 540s despite a green test gate; runner did not accept the card"
opencode-go/kimi-k2.6,OpenCode_CLI,hosted,PASS,FAIL_SCOPE_X2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,1,27,scope_gate,"C2 tests were green but an out-of-scope venv file failed the scope gate twice"
opencode-go/mimo-v2.5-pro,OpenCode_CLI,hosted,PASS,PASS_ON_RETRY,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_X2,9,841,none,"C2 required one informed retry; Card 10 excluded"
opencode-go/mimo-v2.5,OpenCode_CLI,hosted,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_X2,SKIPPED,SKIPPED,7,230,implementation_failure,"C8 failed twice without an accepted edit"
opencode-go/qwen3.7-max,OpenCode_CLI,hosted,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_X2,9,640,none,"Card 10 failed twice without an accepted edit; excluded"
opencode-go/qwen3.7-plus,OpenCode_CLI,hosted,PASS,PASS_ON_RETRY,PASS,PASS,PASS,PASS,PASS,PASS,PASS,TIMEOUT_X2,9,799,none,"C2 required one informed retry; Card 10 timed out twice at 300s and is excluded"
opencode-go/qwen3.6-plus,OpenCode_CLI,hosted,PASS,PASS,PASS,PASS,PASS,PASS,PASS_ON_RETRY,PASS,PASS_ON_RETRY,FAIL_X2,9,963,none,"C7 and C9 each required one informed retry; Card 10 excluded"
opencode-go/minimax-m3,OpenCode_CLI,hosted,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_X2,9,332,none,"Card 10 failed twice; excluded"
opencode-go/minimax-m2.7,OpenCode_CLI,hosted,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_X2,SKIPPED,SKIPPED,SKIPPED,6,552,implementation_failure,"C7 failed twice"
opencode-go/deepseek-v4-flash,OpenCode_CLI,hosted,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_X2,9,640,none,"Card 10 attempts were contaminated by the prompt envelope/no-edit behavior and are excluded"
opencode-go/kimi-k2.7-code,OpenCode_CLI,hosted,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_ANTISTUB_X2,SKIPPED,8,464,anti_stub_gate,"C9 tests were green twice but the anti-stub gate failed twice"
opencode-go/deepseek-v4-pro,OpenCode_CLI,hosted,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,TIMEOUT_X2,9,607,none,"Card 10 timed out after 300s and 1880s; excluded"
